315.62;316.38;316.71;317.72;318.29;318.15;316.54;314.8;313.84;313.26;314.8;315.58
316.43;316.97;317.58;319.02;320.03;319.59;318.18;315.91;314.16;313.83;315;316.19
316.93;317.7;318.54;319.48;320.58;319.77;318.57;316.79;314.8;315.38;316.1;317.01
317.94;318.56;319.68;320.63;321.01;320.55;319.58;317.4;316.26;315.42;316.69;317.69
318.74;319.08;319.86;321.39;322.25;321.47;319.74;317.77;316.21;315.99;317.12;318.31
319.57;319.21;319.63;319.41;322.25;321.89;320.44;318.7;316.7;316.79;317.79;318.71
319.44;320.44;320.89;322.13;322.16;321.87;321.39;318.81;317.81;317.3;318.87;319.42
320.62;321.59;322.39;323.87;324.01;323.75;322.39;320.37;318.64;318.1;319.79;321.08
322.07;322.5;323.04;324.42;325;324.09;322.55;320.92;319.31;319.31;320.72;321.96
322.57;323.15;323.89;325.02;325.57;325.36;324.14;322.03;320.41;320.25;321.31;322.84
324;324.42;325.64;326.66;327.34;326.76;325.88;323.67;322.38;321.78;322.85;324.11
325.03;325.99;326.87;328.13;328.07;327.66;326.35;324.69;323.1;323.16;323.98;325.13
326.17;326.68;327.18;327.78;328.92;328.57;327.34;325.46;323.36;323.57;324.8;326.01
326.77;327.63;327.75;329.72;330.07;329.09;328.05;326.32;324.93;325.06;326.5;327.55
328.54;329.56;330.3;331.5;332.48;332.07;330.87;329.31;327.51;327.18;328.16;328.64
329.35;330.71;331.48;332.65;333.19;332.12;330.99;329.17;327.41;327.21;328.34;329.5
330.68;331.41;331.85;333.29;333.91;333.4;331.74;329.88;328.57;328.36;329.33;329.6
331.66;332.75;333.46;334.78;334.78;334.06;332.95;330.64;328.96;328.77;330.18;331.65
332.69;333.23;334.97;336.03;336.82;336.1;334.79;332.53;331.19;331.21;332.35;333.47
335.1;335.26;336.61;337.77;338.01;337.98;336.48;334.37;332.33;332.41;333.76;334.83
336.21;336.65;338.13;338.95;339;339.2;337.6;335.56;333.93;334.12;335.26;336.78
337.8;338.28;340.04;340.86;341.47;341.26;339.34;337.45;336.1;336.05;337.21;338.29
339.36;340.51;341.57;342.56;343.01;342.49;340.68;338.49;336.92;337.12;338.59;339.9
340.92;341.69;342.85;343.92;344.67;343.78;342.23;340.11;338.32;338.39;339.48;340.88
341.64;342.87;343.59;345.25;345.96;345.52;344.15;342.25;340.17;340.3;341.53;343.07
344.05;344.77;345.46;345.3;347.55;346.98;345.55;343.2;341.35;341.68;343.06;344.54
345.25;346.06;347.66;348.2;348.92;348.4;346.66;344.85;343.2;343.08;344.4;345.82
346.54;347.13;348.05;349.77;350.53;349.9;348.11;346.09;345.01;344.47;345.86;347.15
348.38;348.7;349.72;351.32;352.14;351.61;349.91;347.84;346.52;346.65;347.95;349.18
350.38;351.68;352.24;353.66;354.18;353.68;352.58;350.66;349.03;349.08;350.15;351.44
352.89;353.24;353.8;355.59;355.89;355.3;353.98;351.53;350.02;350.29;351.44;352.84
353.79;354.88;355.65;356.27;357.29;356.32;354.88;352.89;351.28;351.59;353.05;354.27
354.87;355.68;357.06;358.51;359.09;358.1;356.12;353.89;352.3;352.32;353.79;355.07
356.17;356.93;357.82;359;359.55;359.32;356.85;354.91;352.93;353.31;354.27;355.53
356.86;357.27;358.36;359.27;360.19;359.52;357.42;355.46;354.1;354.12;355.4;356.84
358.22;358.98;359.91;361.32;361.68;360.8;359.39;357.42;355.63;356.09;357.56;358.87
359.87;360.79;361.77;363.23;363.77;363.22;361.7;359.11;358.11;357.97;359.4;360.61
362.04;363.17;364.17;364.51;365.16;364.93;363.53;361.38;359.6;359.54;360.84;362.18
363.04;364.09;364.47;366.25;366.69;365.59;364.34;362.2;360.31;360.71;362.44;364.33
365.18;365.98;367.13;368.61;369.49;368.95;367.74;365.79;364.01;364.35;365.52;367.08
368.12;368.98;369.6;370.96;370.77;370.33;369.28;366.86;364.94;365.35;366.68;368.04
369.25;369.5;370.56;371.82;371.51;371.71;369.85;368.2;366.91;366.99;368.33;369.67
370.52;371.49;372.53;373.37;373.82;373.18;371.57;369.63;368.16;368.42;369.69;371.18
372.45;373.14;373.93;375;375.65;375.5;374;371.83;370.66;370.51;372.2;373.71
374.87;375.62;376.48;377.74;378.5;378.18;376.72;374.31;373.2;373.1;374.64;375.93
377;377.87;378.73;380.41;380.63;379.56;377.61;376.15;374.11;374.44;375.93;377.45
378.47;379.76;381.14;382.2;382.47;382.2;380.78;378.73;376.66;376.98;378.29;379.92
381.35;382.16;382.66;384.73;384.98;384.09;382.38;380.45;378.92;379.16;380.18;381.79
382.93;383.81;384.56;386.4;386.58;386.05;384.49;382;380.9;381.14;382.42;383.89
385.44;385.73;385.97;387.16;388.5;387.88;386.42;384.15;383.09;382.99;384.13;385.56
386.93;387.42;388.77;389.46;390.19;389.44;387.91;385.92;384.79;384.39;386;387.27
388.45;389.82;391.08;392.46;392.95;392.03;390.13;388.15;386.8;387.18;388.59;389.68
391.19;391.76;392.4;393.28;394.16;393.68;392.39;390.08;389;388.92;390.2;391.8
